"Nazwa";"Energia";"Bialko";"Tluszcz";"Weglowodany"
"374";"Pikling";"216";"21,8";"14,3";"0"
"375";"Piwo bezalkoholowe";"27";"0,2";"0";"5,2"
"376";"Piwo ciemne pe?ne";"42";"0,4";"0";"4,6"
"377";"Piwo jasne mocne";"64";"7";"0";"5,4"
"378";"Piwo jasne pe?ne";"49";"0,5";"0";"3,8"
"379";"Pizza z pieczarkami i cebul?";"296";"12";"13,3";"32,1"
"380";"Pizza z szynk?";"223";"9,8";"2,5";"40,2"
"381";"Planta, t?uszcz ro?linny";"900";"0";"100";"0"
"382";"P?atki j?czmienne";"389";"9,8";"3,6";"79,4"
"383";"P?atki kukurydziane";"385";"6,9";"2,5";"83,6"
"384";"P?atki kukurydziane Nestle Corn Flakes?";"370";"7,3";"0,8";"83,3"
"385";"P?atki owsiane";"390";"11,9";"7,2";"69,3"
"386";"P?atki pszenne";"387";"9";"3";"81"
"387";"P?atki ?ytnie";"385";"6,4";"3,2";"82,6"
"388";"Pol?dwica wo?owa?";"112";"20,1";"3,5";"0"
"389";"Pomidor";"29";"0,9";"0,5";"5,2"
"390";"Por";"47";"1,7";"0,1";"9,9"
"391";"Pomara?cza";"51";"0,9";"0,2";"11,3"
"392";"Popcorn bez t?uszczu";"397";"12";"4,2";"77,9"
"393";"Popcorn z t?uszczem";"518";"9";"28,1";"57,1"
"394";"Porzeczki bia?e";"63";"0,4";"0,4";"14,5"
"395";"Porzeczki czarne";"84";"1,5";"0,9";"17,4"
"396";"Porzeczki czerwone";"64";"1,3";"0,4";"13,8"
"397";"Powid?a ?liwkowe";"218";"1";"0,2";"53"
"398";"Poziomki";"41";"0,8";"0,5";"8,3"
"399";"Precelki";"385";"9,1";"3,5";"79,5"
"400";"Prince Polo, wafel";"534";"4,8";"31,5";"57,5"
"401";"Princessa, wafel?";"562";"4,1";"34,6";"58,4"
"402";"Przyprawa do zup Maggi";"17";"2,7";"0";"1,5"
"403";"Pstr?g ?wie?y";"96";"19,2";"2,1";"0"
"404";"Pty? z bit? ?mietan?, ciastko";"352";"5,4";"25,2";"25,8"
"405";"Pyzy z mi?sem mro?one";"169";"5,2";"4,9";"26,2"
"406";"Pyzy ziemniaczane mro?one";"140";"1,7";"0,5";"32,2"
"407";"Rabarabar";"18";"0,5";"0,1";"3,8"
"408";"Raffaello, czekoladki";"600";"9,7";"46,6";"35,4"
"409";"Rama Classic, margaryna";"631";"0";"70";"0,2"
"410";"Red Bull, nap?j";"45";"0";"0";"11,3"
"411";"Rodzynki";"298";"2,3";"0,5";"71,2"
"412";"Rostbef wo?owy";"152";"21,5";"7,3";"0"
"413";"Rozbratel wo?owy";"158";"16,7";"10,1";"0"
"414";"Ry? bia?y";"349";"6,7";"0,7";"78,9"
"415";"Ry? br?zowy?";"353";"7,1";"1,9";"76,8"
"416";"Ry? dziki ameryka?ski";"351";"13,8";"0,4";"73"
"417";"Ry? preparowany";"376";"6,3";"1,6";"84,1"
"418";"Rze?ucha";"15";"2,3";"0,1";"1,3"
"419";"Rzodkiewka";"21";"0,8";"0,4";"3,6"
"420";"Salceson czarny";"340";"12,6";"32";"0,5"
"421";"Salceson w?oski";"322";"14,6";"29,3";"0"
"422";"Sa?ata";"20";"1,4";"0,3";"2,9"
"423";"Sandacz ?wie?y";"80";"18,3";"0,3";"0,9"
"424";"Sardynki w oleju, konserwa";"202";"24";"11,5";"0"
"425";"Sardynki w sosie pomidorowym, konserwa";"163";"17";"9,9";"1,4"
"426";"Sarnina";"102";"20,8";"1,9";"0,4"
"427";"Schab surowy wieprzowy?";"174";"21";"10";"0"
"428";"Schab w?dzony";"136";"25";"4";"0"
"429";"Seler korze?";"61";"1,3";"0,2";"13,6"
